alpha,candidate_type,stageB_classification,full_horizon_classification,fit_method,bracket_lo,bracket_hi,c_star_hat,bootstrap95_c_star_lo,bootstrap95_c_star_hi,bootstrap_in_domain_fraction,bootstrap_right_censored_fraction,bootstrap_left_censored_fraction,bootstrap_unresolved_fraction,bootstrap_method_mode,c_values,observed_P_values,observed_iso_P_values,observed_mean_returns,observed_mean_I_R_full,note
0.0,in_domain,in_domain_bracket_ready,right_censored_gt_refine_band,none,0.580,,,0.575411,0.580000,0.005600,0.994400,0.000000,0.000000,isotonic,"0.520,0.540,0.560,0.580","0.718750,0.718750,0.718750,0.718750","0.718750,0.718750,0.718750,0.718750","-25.887709,-25.887565,-25.888891,-25.888891","0.552630,0.552689,0.552153,0.552153",All refined full-horizon points remain above the learning threshold; the boundary lies above the sampled refine band.
0.1,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","0.968750,0.937500,0.906250","0.968750,0.937500,0.906250","-24.052776,-23.962219,-24.524365","1.293433,1.329993,1.103042",Full horizon preserves right-censoring above the physical c_upd domain.
0.2,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","0.968750,0.968750,1.000000","0.979167,0.979167,0.979167","-23.851759,-24.033771,-23.945867","1.374588,1.301106,1.336595",Full horizon preserves right-censoring above the physical c_upd domain.
0.3,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.860035,-23.870503,-24.020606","1.371247,1.367021,1.306421",Full horizon preserves right-censoring above the physical c_upd domain.
0.4,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.719367,-23.834808,-23.938057","1.428038,1.381432,1.339748",Full horizon preserves right-censoring above the physical c_upd domain.
0.5,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.559497,-23.711623,-23.841930","1.492581,1.431164,1.378556",Full horizon preserves right-censoring above the physical c_upd domain.
0.6,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.430765,-23.506948,-23.666071","1.544553,1.513796,1.449554",Full horizon preserves right-censoring above the physical c_upd domain.
0.7,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.601074,-23.517134,-23.621875","1.475795,1.509684,1.467397",Full horizon preserves right-censoring above the physical c_upd domain.
0.8,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.464234,-23.483750,-23.418821","1.531040,1.523162,1.549375",Full horizon preserves right-censoring above the physical c_upd domain.
0.9,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.382510,-23.410279,-23.517805","1.564034,1.552824,1.509413",Full horizon preserves right-censoring above the physical c_upd domain.
1.0,edge_censored,edge_censored_gt_1p0,right_censored_gt_1p0,none,1.000,,,,,0.000000,1.000000,0.000000,0.000000,none,"0.900,0.950,1.000","1.000000,1.000000,1.000000","1.000000,1.000000,1.000000","-23.207984,-23.290840,-23.399934","1.634494,1.601043,1.557000",Full horizon preserves right-censoring above the physical c_upd domain.
